,l1,l2,l_inf,MSE,PSNR,SSIM,LPIPS,IS,pHash,SAM,SS,DSWD,CDBI,UCLC,TAC,TUP
l1,1.0,0.783,-0.075,0.667,0.663,0.842,0.894,0.752,0.575,0.864,-0.255,-0.078,-0.283,-0.431,-0.055,-0.685
l2,0.783,1.0,0.506,0.904,0.902,0.737,0.914,0.624,0.811,0.561,-0.251,0.022,-0.219,-0.231,0.029,-0.478
l_inf,-0.075,0.506,1.0,0.472,0.474,-0.006,0.216,-0.098,0.411,-0.332,-0.05,0.122,0.062,0.096,0.228,0.101
MSE,0.667,0.904,0.472,1.0,0.999,0.795,0.85,0.732,0.939,0.612,-0.17,0.141,-0.175,-0.113,-0.092,-0.321
PSNR,0.663,0.902,0.474,0.999,1.0,0.794,0.848,0.731,0.939,0.611,-0.166,0.14,-0.172,-0.115,-0.087,-0.312
SSIM,0.842,0.737,-0.006,0.795,0.794,1.0,0.902,0.92,0.744,0.85,-0.222,0.093,-0.313,-0.366,-0.24,-0.519
LPIPS,0.894,0.914,0.216,0.85,0.848,0.902,1.0,0.794,0.772,0.753,-0.212,0.047,-0.248,-0.317,-0.041,-0.533
IS,0.752,0.624,-0.098,0.732,0.731,0.92,0.794,1.0,0.704,0.809,-0.306,0.092,-0.407,-0.278,-0.33,-0.51
pHash,0.575,0.811,0.411,0.939,0.939,0.744,0.772,0.704,1.0,0.535,-0.235,0.017,-0.235,-0.057,-0.18,-0.252
SAM,0.864,0.561,-0.332,0.612,0.611,0.85,0.753,0.809,0.535,1.0,-0.057,0.088,-0.146,-0.362,-0.097,-0.508
SS,-0.255,-0.251,-0.05,-0.17,-0.166,-0.222,-0.212,-0.306,-0.235,-0.057,1.0,0.487,0.888,0.171,0.539,0.437
DSWD,-0.078,0.022,0.122,0.141,0.14,0.093,0.047,0.092,0.017,0.088,0.487,1.0,0.327,0.386,0.28,0.168
CDBI,-0.283,-0.219,0.062,-0.175,-0.172,-0.313,-0.248,-0.407,-0.235,-0.146,0.888,0.327,1.0,0.14,0.573,0.486
UCLC,-0.431,-0.231,0.096,-0.113,-0.115,-0.366,-0.317,-0.278,-0.057,-0.362,0.171,0.386,0.14,1.0,0.045,0.453
TAC,-0.055,0.029,0.228,-0.092,-0.087,-0.24,-0.041,-0.33,-0.18,-0.097,0.539,0.28,0.573,0.045,1.0,0.302
TUP,-0.685,-0.478,0.101,-0.321,-0.312,-0.519,-0.533,-0.51,-0.252,-0.508,0.437,0.168,0.486,0.453,0.302,1.0
