subset,metric_set,cluster,quantity,point,ci_lo,ci_hi
all_configs,full16,config,input-input,0.66,0.591,0.719
all_configs,full16,config,feature-feature,0.567,0.439,0.674
all_configs,full16,config,param-param,0.267,0.107,0.425
all_configs,full16,config,input-feature,-0.112,-0.276,0.055
all_configs,full16,config,input-param,-0.235,-0.367,-0.086
all_configs,full16,config,feature-param,0.353,0.239,0.452
all_configs,full16,config,within_minus_cross,0.496,0.385,0.595
all_configs,full16,attack,input-input,0.66,0.427,0.803
all_configs,full16,attack,feature-feature,0.567,0.423,0.649
all_configs,full16,attack,param-param,0.267,-0.041,0.518
all_configs,full16,attack,input-feature,-0.112,-0.41,0.237
all_configs,full16,attack,input-param,-0.235,-0.411,0.074
all_configs,full16,attack,feature-param,0.353,0.199,0.494
all_configs,full16,attack,within_minus_cross,0.496,0.276,0.617
all_configs,full16,dataset,input-input,0.66,0.649,0.693
all_configs,full16,dataset,feature-feature,0.567,0.321,0.774
all_configs,full16,dataset,param-param,0.267,0.063,0.55
all_configs,full16,dataset,input-feature,-0.112,-0.217,0.045
all_configs,full16,dataset,input-param,-0.235,-0.312,-0.208
all_configs,full16,dataset,feature-param,0.353,0.211,0.528
all_configs,full16,dataset,within_minus_cross,0.496,0.398,0.607
all_configs,reduced13,config,input-input,0.632,0.553,0.693
all_configs,reduced13,config,feature-feature,0.487,0.29,0.655
all_configs,reduced13,config,param-param,0.045,-0.227,0.291
all_configs,reduced13,config,input-feature,-0.067,-0.234,0.101
all_configs,reduced13,config,input-param,-0.158,-0.292,-0.003
all_configs,reduced13,config,feature-param,0.344,0.224,0.448
all_configs,reduced13,config,within_minus_cross,0.348,0.205,0.483
all_configs,reduced13,attack,input-input,0.632,0.4,0.796
all_configs,reduced13,attack,feature-feature,0.487,0.311,0.585
all_configs,reduced13,attack,param-param,0.045,-0.434,0.504
all_configs,reduced13,attack,input-feature,-0.067,-0.362,0.245
all_configs,reduced13,attack,input-param,-0.158,-0.363,0.195
all_configs,reduced13,attack,feature-param,0.344,0.168,0.507
all_configs,reduced13,attack,within_minus_cross,0.348,0.088,0.517
all_configs,reduced13,dataset,input-input,0.632,0.623,0.664
all_configs,reduced13,dataset,feature-feature,0.487,0.284,0.714
all_configs,reduced13,dataset,param-param,0.045,-0.131,0.448
all_configs,reduced13,dataset,input-feature,-0.067,-0.166,0.104
all_configs,reduced13,dataset,input-param,-0.158,-0.246,-0.051
all_configs,reduced13,dataset,feature-param,0.344,0.189,0.473
all_configs,reduced13,dataset,within_minus_cross,0.348,0.231,0.54
asr_ge_60,full16,config,input-input,0.686,0.607,0.752
asr_ge_60,full16,config,feature-feature,0.442,0.266,0.584
asr_ge_60,full16,config,param-param,0.243,0.048,0.416
asr_ge_60,full16,config,input-feature,-0.108,-0.285,0.082
asr_ge_60,full16,config,input-param,-0.325,-0.445,-0.169
asr_ge_60,full16,config,feature-param,0.29,0.167,0.404
asr_ge_60,full16,config,within_minus_cross,0.505,0.387,0.601
asr_ge_60,full16,attack,input-input,0.686,0.452,0.812
asr_ge_60,full16,attack,feature-feature,0.442,0.292,0.544
asr_ge_60,full16,attack,param-param,0.243,-0.068,0.509
asr_ge_60,full16,attack,input-feature,-0.108,-0.427,0.238
asr_ge_60,full16,attack,input-param,-0.325,-0.513,0.035
asr_ge_60,full16,attack,feature-param,0.29,0.141,0.427
asr_ge_60,full16,attack,within_minus_cross,0.505,0.275,0.646
asr_ge_60,full16,dataset,input-input,0.686,0.667,0.73
asr_ge_60,full16,dataset,feature-feature,0.442,0.235,0.677
asr_ge_60,full16,dataset,param-param,0.243,-0.004,0.546
asr_ge_60,full16,dataset,input-feature,-0.108,-0.192,0.004
asr_ge_60,full16,dataset,input-param,-0.325,-0.469,-0.264
asr_ge_60,full16,dataset,feature-param,0.29,0.164,0.544
asr_ge_60,full16,dataset,within_minus_cross,0.505,0.438,0.658
asr_ge_60,reduced13,config,input-input,0.658,0.576,0.728
asr_ge_60,reduced13,config,feature-feature,0.327,0.105,0.544
asr_ge_60,reduced13,config,param-param,0.021,-0.304,0.334
asr_ge_60,reduced13,config,input-feature,-0.071,-0.253,0.107
asr_ge_60,reduced13,config,input-param,-0.245,-0.383,-0.079
asr_ge_60,reduced13,config,feature-param,0.287,0.155,0.411
asr_ge_60,reduced13,config,within_minus_cross,0.345,0.185,0.501
asr_ge_60,reduced13,attack,input-input,0.658,0.385,0.801
asr_ge_60,reduced13,attack,feature-feature,0.327,0.138,0.474
asr_ge_60,reduced13,attack,param-param,0.021,-0.509,0.52
asr_ge_60,reduced13,attack,input-feature,-0.071,-0.394,0.226
asr_ge_60,reduced13,attack,input-param,-0.245,-0.443,0.105
asr_ge_60,reduced13,attack,feature-param,0.287,0.139,0.475
asr_ge_60,reduced13,attack,within_minus_cross,0.345,0.066,0.537
asr_ge_60,reduced13,dataset,input-input,0.658,0.64,0.701
asr_ge_60,reduced13,dataset,feature-feature,0.327,0.171,0.651
asr_ge_60,reduced13,dataset,param-param,0.021,-0.18,0.576
asr_ge_60,reduced13,dataset,input-feature,-0.071,-0.143,0.059
asr_ge_60,reduced13,dataset,input-param,-0.245,-0.417,-0.153
asr_ge_60,reduced13,dataset,feature-param,0.287,0.156,0.509
asr_ge_60,reduced13,dataset,within_minus_cross,0.345,0.281,0.611
