attack,dataset,max_UCLC,in_submitted_table9
prototype,cifar10,7.7493,True
prototype,cifar100,4.6334,True
prototype,imagenette,4.6553,True
prototype,tiny,4.2605,False
badnet,cifar10,6.2154,False
blended,cifar10,8.2958,False
wanet,cifar10,11.0838,False
bpp,cifar10,7.311,False
adaptive_patch,cifar10,11.3222,False
adaptive_blend,cifar10,6.5785,False
narcissus,cifar10,13.489,True
narcissus,cifar100,4.7382,True
narcissus,imagenette,6.6658,True
narcissus,tiny,6.1746,False
grond,cifar10,4.1186,True
grond,cifar100,4.7676,True
grond,imagenette,3.7844,True
grond,tiny,4.1309,False
dfba,cifar10,20.6543,True
dfba,cifar100,15.6792,True
dfba,imagenette,19.127,True
dfba,tiny,20.1429,False
