subset,cluster,quantity,point,ci_lo,ci_hi
all_configs,config,input-input,0.66,0.591,0.719
all_configs,config,feature-feature,0.567,0.439,0.674
all_configs,config,param-param,0.267,0.107,0.425
all_configs,config,input-feature,-0.112,-0.276,0.055
all_configs,config,input-param,-0.235,-0.367,-0.086
all_configs,config,feature-param,0.353,0.239,0.452
all_configs,config,within_minus_cross,0.496,0.385,0.595
all_configs,config,SS~CDBI,0.888,0.814,0.924
all_configs,config,UCLC~TAC,0.045,-0.217,0.288
all_configs,config,l1~TUP,-0.685,-0.785,-0.544
all_configs,config,SS~DSWD,0.487,0.293,0.648
all_configs,attack,input-input,0.66,0.427,0.803
all_configs,attack,feature-feature,0.567,0.423,0.649
all_configs,attack,param-param,0.267,-0.041,0.518
all_configs,attack,input-feature,-0.112,-0.41,0.237
all_configs,attack,input-param,-0.235,-0.411,0.074
all_configs,attack,feature-param,0.353,0.199,0.494
all_configs,attack,within_minus_cross,0.496,0.276,0.617
all_configs,attack,SS~CDBI,0.888,0.813,0.913
all_configs,attack,UCLC~TAC,0.045,-0.438,0.497
all_configs,attack,l1~TUP,-0.685,-0.795,-0.472
all_configs,attack,SS~DSWD,0.487,0.313,0.594
all_configs,dataset,input-input,0.66,0.649,0.693
all_configs,dataset,feature-feature,0.567,0.321,0.774
all_configs,dataset,param-param,0.267,0.063,0.55
all_configs,dataset,input-feature,-0.112,-0.217,0.045
all_configs,dataset,input-param,-0.235,-0.312,-0.208
all_configs,dataset,feature-param,0.353,0.211,0.528
all_configs,dataset,within_minus_cross,0.496,0.398,0.607
all_configs,dataset,SS~CDBI,0.888,0.635,0.927
all_configs,dataset,UCLC~TAC,0.045,-0.131,0.477
all_configs,dataset,l1~TUP,-0.685,-0.768,-0.586
all_configs,dataset,SS~DSWD,0.487,0.284,0.782
asr_ge_60,config,input-input,0.686,0.602,0.757
asr_ge_60,config,feature-feature,0.442,0.285,0.574
asr_ge_60,config,param-param,0.243,0.047,0.427
asr_ge_60,config,input-feature,-0.108,-0.281,0.071
asr_ge_60,config,input-param,-0.325,-0.449,-0.169
asr_ge_60,config,feature-param,0.29,0.167,0.404
asr_ge_60,config,within_minus_cross,0.505,0.387,0.605
asr_ge_60,config,SS~CDBI,0.856,0.736,0.919
asr_ge_60,config,UCLC~TAC,0.021,-0.316,0.333
asr_ge_60,config,l1~TUP,-0.721,-0.817,-0.569
asr_ge_60,config,SS~DSWD,0.327,0.091,0.534
asr_ge_60,attack,input-input,0.686,0.433,0.82
asr_ge_60,attack,feature-feature,0.442,0.288,0.538
asr_ge_60,attack,param-param,0.243,-0.065,0.504
asr_ge_60,attack,input-feature,-0.108,-0.43,0.239
asr_ge_60,attack,input-param,-0.325,-0.508,0.055
asr_ge_60,attack,feature-param,0.29,0.133,0.434
asr_ge_60,attack,within_minus_cross,0.505,0.267,0.642
asr_ge_60,attack,SS~CDBI,0.856,0.779,0.899
asr_ge_60,attack,UCLC~TAC,0.021,-0.499,0.529
asr_ge_60,attack,l1~TUP,-0.721,-0.821,-0.38
asr_ge_60,attack,SS~DSWD,0.327,0.136,0.467
asr_ge_60,dataset,input-input,0.686,0.667,0.73
asr_ge_60,dataset,feature-feature,0.442,0.235,0.677
asr_ge_60,dataset,param-param,0.243,-0.004,0.547
asr_ge_60,dataset,input-feature,-0.108,-0.192,0.004
asr_ge_60,dataset,input-param,-0.325,-0.469,-0.264
asr_ge_60,dataset,feature-param,0.29,0.164,0.544
asr_ge_60,dataset,within_minus_cross,0.505,0.438,0.658
asr_ge_60,dataset,SS~CDBI,0.856,0.595,0.916
asr_ge_60,dataset,UCLC~TAC,0.021,-0.188,0.576
asr_ge_60,dataset,l1~TUP,-0.721,-0.843,-0.659
asr_ge_60,dataset,SS~DSWD,0.327,0.171,0.651
