dataset,metric,quantity,value,n
cifar10,CDBI,allpairs_mean_rho,0.846,153
cifar10,CDBI,allpairs_min_rho,0.467,153
cifar10,CDBI,allpairs_mean_tau,0.754,153
cifar10,CDBI,tsne_p15_seed_mean_rho,0.998,10
cifar10,CDBI,tsne_p30_seed_mean_rho,0.979,10
cifar10,CDBI,tsne_p50_seed_mean_rho,0.995,10
cifar10,CDBI,tsne_value_relspread_median,0.124,15
cifar10,CDBI,p30_vs_raw512_rho,0.519,18
cifar10,CDBI,p30_vs_pca50_rho,0.536,18
cifar10,CDBI,p30_vs_pca2_rho,0.633,18
cifar10,CDBI,top_attack_adaptive_blend_share,0.722,18
cifar10,CDBI,vs_published_mean_rho,0.717,18
cifar10,CDBI,vs_published_clean_mean_rho,0.921,16
cifar10,SS,allpairs_mean_rho,0.77,153
cifar10,SS,allpairs_min_rho,0.131,153
cifar10,SS,allpairs_mean_tau,0.718,153
cifar10,SS,tsne_p15_seed_mean_rho,1.0,10
cifar10,SS,tsne_p30_seed_mean_rho,0.998,10
cifar10,SS,tsne_p50_seed_mean_rho,0.995,10
cifar10,SS,tsne_value_relspread_median,0.082,15
cifar10,SS,p30_vs_raw512_rho,0.137,18
cifar10,SS,p30_vs_pca50_rho,0.137,18
cifar10,SS,p30_vs_pca2_rho,0.41,18
cifar10,SS,top_attack_adaptive_blend_share,0.556,18
cifar10,SS,vs_published_mean_rho,0.835,18
cifar10,SS,vs_published_clean_mean_rho,0.897,16
cifar100,CDBI,allpairs_mean_rho,0.838,153
cifar100,CDBI,allpairs_min_rho,0.441,153
cifar100,CDBI,allpairs_mean_tau,0.728,153
cifar100,CDBI,tsne_p15_seed_mean_rho,0.982,10
cifar100,CDBI,tsne_p30_seed_mean_rho,0.942,10
cifar100,CDBI,tsne_p50_seed_mean_rho,0.933,10
cifar100,CDBI,tsne_value_relspread_median,0.14,15
cifar100,CDBI,p30_vs_raw512_rho,0.529,18
cifar100,CDBI,p30_vs_pca50_rho,0.55,18
cifar100,CDBI,p30_vs_pca2_rho,0.81,18
cifar100,CDBI,top_attack_narcissus_share,0.944,18
cifar100,CDBI,vs_published_mean_rho,0.889,18
cifar100,CDBI,vs_published_clean_mean_rho,0.889,18
cifar100,SS,allpairs_mean_rho,0.884,153
cifar100,SS,allpairs_min_rho,0.567,153
cifar100,SS,allpairs_mean_tau,0.764,153
cifar100,SS,tsne_p15_seed_mean_rho,0.977,10
cifar100,SS,tsne_p30_seed_mean_rho,0.981,10
cifar100,SS,tsne_p50_seed_mean_rho,0.98,10
cifar100,SS,tsne_value_relspread_median,0.141,15
cifar100,SS,p30_vs_raw512_rho,0.717,18
cifar100,SS,p30_vs_pca50_rho,0.725,18
cifar100,SS,p30_vs_pca2_rho,0.773,18
cifar100,SS,top_attack_narcissus_share,0.778,18
cifar100,SS,vs_published_mean_rho,0.919,18
cifar100,SS,vs_published_clean_mean_rho,0.919,18
imagenette,CDBI,allpairs_mean_rho,0.939,153
imagenette,CDBI,allpairs_min_rho,0.827,153
imagenette,CDBI,allpairs_mean_tau,0.831,153
imagenette,CDBI,tsne_p15_seed_mean_rho,0.974,10
imagenette,CDBI,tsne_p30_seed_mean_rho,0.987,10
imagenette,CDBI,tsne_p50_seed_mean_rho,0.978,10
imagenette,CDBI,tsne_value_relspread_median,0.118,15
imagenette,CDBI,p30_vs_raw512_rho,0.843,18
imagenette,CDBI,p30_vs_pca50_rho,0.843,18
imagenette,CDBI,p30_vs_pca2_rho,0.915,18
imagenette,CDBI,top_attack_narcissus_share,0.667,18
imagenette,CDBI,vs_published_mean_rho,0.925,18
imagenette,CDBI,vs_published_clean_mean_rho,0.925,18
imagenette,SS,allpairs_mean_rho,0.94,153
imagenette,SS,allpairs_min_rho,0.812,153
imagenette,SS,allpairs_mean_tau,0.841,153
imagenette,SS,tsne_p15_seed_mean_rho,0.967,10
imagenette,SS,tsne_p30_seed_mean_rho,0.991,10
imagenette,SS,tsne_p50_seed_mean_rho,0.991,10
imagenette,SS,tsne_value_relspread_median,0.115,15
imagenette,SS,p30_vs_raw512_rho,0.841,18
imagenette,SS,p30_vs_pca50_rho,0.847,18
imagenette,SS,p30_vs_pca2_rho,0.853,18
imagenette,SS,top_attack_narcissus_share,0.444,18
imagenette,SS,vs_published_mean_rho,0.924,18
imagenette,SS,vs_published_clean_mean_rho,0.924,18
