dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,badnet,0.003,raw512,raw,,,512,0.01908,1.665009,498,150,80,0.2
cifar100,resnet18,badnet,0.003,pca50,pca,,,50,0.027459,1.621059,498,150,80,0.2
cifar100,resnet18,badnet,0.003,pca2,pca,,,2,0.165386,1.155534,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p15_s0,tsne,15.0,0,2,0.456579,0.532206,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p15_s1,tsne,15.0,1,2,0.468272,0.526779,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p15_s2,tsne,15.0,2,2,0.463011,0.523415,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p15_s3,tsne,15.0,3,2,0.483761,0.507373,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p15_s4,tsne,15.0,4,2,0.455378,0.542805,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p30_s0,tsne,30.0,0,2,0.42707,0.585586,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p30_s1,tsne,30.0,1,2,0.443536,0.596369,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p30_s2,tsne,30.0,2,2,0.461252,0.530635,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p30_s3,tsne,30.0,3,2,0.431179,0.57324,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p30_s4,tsne,30.0,4,2,0.458821,0.543836,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p50_s0,tsne,50.0,0,2,0.42652,0.577343,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p50_s1,tsne,50.0,1,2,0.432204,0.576753,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p50_s2,tsne,50.0,2,2,0.425152,0.591715,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p50_s3,tsne,50.0,3,2,0.422364,0.585717,498,150,80,0.1
cifar100,resnet18,badnet,0.003,tsne_p50_s4,tsne,50.0,4,2,0.426949,0.569096,498,150,80,0.1
