dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,blended,0.003,raw512,raw,,,512,0.116747,1.361283,498,150,80,0.2
cifar100,resnet18,blended,0.003,pca50,pca,,,50,0.123795,1.326565,498,150,80,0.2
cifar100,resnet18,blended,0.003,pca2,pca,,,2,0.349023,0.862517,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p15_s0,tsne,15.0,0,2,0.416563,0.710393,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p15_s1,tsne,15.0,1,2,0.360271,0.836619,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p15_s2,tsne,15.0,2,2,0.363055,1.056547,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p15_s3,tsne,15.0,3,2,0.42117,0.6637,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p15_s4,tsne,15.0,4,2,0.281117,1.281783,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p30_s0,tsne,30.0,0,2,0.281591,2.947688,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p30_s1,tsne,30.0,1,2,0.366863,0.794195,498,150,80,0.2
cifar100,resnet18,blended,0.003,tsne_p30_s2,tsne,30.0,2,2,0.381219,0.782593,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p30_s3,tsne,30.0,3,2,0.352072,1.043991,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p30_s4,tsne,30.0,4,2,0.303291,1.47833,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p50_s0,tsne,50.0,0,2,0.380916,0.900824,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p50_s1,tsne,50.0,1,2,0.41459,0.642432,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p50_s2,tsne,50.0,2,2,0.385247,0.732955,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p50_s3,tsne,50.0,3,2,0.30184,1.417978,498,150,80,0.1
cifar100,resnet18,blended,0.003,tsne_p50_s4,tsne,50.0,4,2,0.379764,0.831257,498,150,80,0.1
