dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,bpp,0.003,raw512,raw,,,512,0.185905,1.066428,498,136,80,0.2
cifar100,resnet18,bpp,0.003,pca50,pca,,,50,0.200909,1.031712,498,136,80,0.2
cifar100,resnet18,bpp,0.003,pca2,pca,,,2,0.511716,0.587838,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p15_s0,tsne,15.0,0,2,0.52734,0.449849,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p15_s1,tsne,15.0,1,2,0.521085,0.460619,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p15_s2,tsne,15.0,2,2,0.533346,0.433838,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p15_s3,tsne,15.0,3,2,0.516689,0.455451,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p15_s4,tsne,15.0,4,2,0.537748,0.441656,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p30_s0,tsne,30.0,0,2,0.532666,0.450995,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p30_s1,tsne,30.0,1,2,0.536464,0.441014,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p30_s2,tsne,30.0,2,2,0.553791,0.425818,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p30_s3,tsne,30.0,3,2,0.545589,0.437738,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p30_s4,tsne,30.0,4,2,0.542749,0.437348,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p50_s0,tsne,50.0,0,2,0.556193,0.419674,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p50_s1,tsne,50.0,1,2,0.556978,0.428443,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p50_s2,tsne,50.0,2,2,0.546088,0.440154,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p50_s3,tsne,50.0,3,2,0.531968,0.466023,498,136,80,0.1
cifar100,resnet18,bpp,0.003,tsne_p50_s4,tsne,50.0,4,2,0.537181,0.4586,498,136,80,0.1
