dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar100,resnet18,narcissus,0.007,raw512,raw,,,512,0.059852,4.461704,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,pca50,pca,,,50,0.064215,4.205455,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,pca2,pca,,,2,0.147271,1.97667,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p15_s0,tsne,15.0,0,2,0.075375,5.146015,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p15_s1,tsne,15.0,1,2,0.079588,3.460103,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p15_s2,tsne,15.0,2,2,0.121603,2.936655,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p15_s3,tsne,15.0,3,2,0.153742,1.942961,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p15_s4,tsne,15.0,4,2,0.0613,3.127359,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p30_s0,tsne,30.0,0,2,0.069647,4.837292,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p30_s1,tsne,30.0,1,2,0.160913,2.033412,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p30_s2,tsne,30.0,2,2,0.146035,2.068074,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p30_s3,tsne,30.0,3,2,0.083514,4.819961,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p30_s4,tsne,30.0,4,2,0.094691,3.391813,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p50_s0,tsne,50.0,0,2,0.07017,4.157673,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p50_s1,tsne,50.0,1,2,0.064335,3.418038,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p50_s2,tsne,50.0,2,2,0.107478,2.300615,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p50_s3,tsne,50.0,3,2,0.096398,2.999644,150,350,1,0.0
cifar100,resnet18,narcissus,0.007,tsne_p50_s4,tsne,50.0,4,2,0.160067,1.943569,150,350,1,0.0
