dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,adaptive_blend,0.05,raw512,raw,,,512,0.187553,1.962789,4766,2500,10,0.7
cifar10,resnet18,adaptive_blend,0.05,pca50,pca,,,50,0.190726,1.925233,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,pca2,pca,,,2,0.276227,1.387015,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p15_s0,tsne,15.0,0,2,0.227954,1.704821,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p15_s1,tsne,15.0,1,2,0.227603,1.712368,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p15_s2,tsne,15.0,2,2,0.228085,1.713412,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p15_s3,tsne,15.0,3,2,0.227477,1.705826,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p15_s4,tsne,15.0,4,2,0.227148,1.713834,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p30_s0,tsne,30.0,0,2,0.231281,1.659921,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p30_s1,tsne,30.0,1,2,0.231683,1.660776,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p30_s2,tsne,30.0,2,2,0.231812,1.643422,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p30_s3,tsne,30.0,3,2,0.232478,1.677315,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p30_s4,tsne,30.0,4,2,0.231521,1.663082,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p50_s0,tsne,50.0,0,2,0.256859,1.222925,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p50_s1,tsne,50.0,1,2,0.255853,1.234206,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p50_s2,tsne,50.0,2,2,0.25755,1.222797,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p50_s3,tsne,50.0,3,2,0.255736,1.226674,4766,2500,10,0.6
cifar10,resnet18,adaptive_blend,0.05,tsne_p50_s4,tsne,50.0,4,2,0.257592,1.225652,4766,2500,10,0.6
