dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,adaptive_patch,0.003,raw512,raw,,,512,0.299525,1.894427,4986,150,10,0.4
cifar10,resnet18,adaptive_patch,0.003,pca50,pca,,,50,0.301706,1.859466,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,pca2,pca,,,2,0.225326,2.617258,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p15_s0,tsne,15.0,0,2,0.080958,2.301708,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p15_s1,tsne,15.0,1,2,0.083001,2.253423,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p15_s2,tsne,15.0,2,2,0.081933,2.284758,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p15_s3,tsne,15.0,3,2,0.079887,2.287254,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p15_s4,tsne,15.0,4,2,0.084316,2.243151,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p30_s0,tsne,30.0,0,2,0.049777,4.821747,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p30_s1,tsne,30.0,1,2,0.048566,5.22092,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p30_s2,tsne,30.0,2,2,0.053866,3.739337,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p30_s3,tsne,30.0,3,2,0.046933,4.712181,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p30_s4,tsne,30.0,4,2,0.075586,2.866797,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p50_s0,tsne,50.0,0,2,0.149175,2.758888,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p50_s1,tsne,50.0,1,2,0.117742,3.07376,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p50_s2,tsne,50.0,2,2,0.128452,2.815144,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p50_s3,tsne,50.0,3,2,0.088312,3.091672,4986,150,10,0.3
cifar10,resnet18,adaptive_patch,0.003,tsne_p50_s4,tsne,50.0,4,2,0.129075,2.272777,4986,150,10,0.3
