dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,dfst,0.003,raw512,raw,,,512,0.323562,0.939618,5000,150,9,0.4
cifar10,resnet18,dfst,0.003,pca50,pca,,,50,0.33069,0.917644,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,pca2,pca,,,2,0.370676,0.865079,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p15_s0,tsne,15.0,0,2,0.276368,0.650336,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p15_s1,tsne,15.0,1,2,0.279182,0.646433,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p15_s2,tsne,15.0,2,2,0.291276,0.637236,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p15_s3,tsne,15.0,3,2,0.277585,0.64988,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p15_s4,tsne,15.0,4,2,0.284609,0.64006,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p30_s0,tsne,30.0,0,2,0.352515,0.537836,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p30_s1,tsne,30.0,1,2,0.337728,0.550574,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p30_s2,tsne,30.0,2,2,0.338507,0.548369,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p30_s3,tsne,30.0,3,2,0.340119,0.55366,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p30_s4,tsne,30.0,4,2,0.336906,0.552791,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p50_s0,tsne,50.0,0,2,0.391743,0.497421,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p50_s1,tsne,50.0,1,2,0.404031,0.488883,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p50_s2,tsne,50.0,2,2,0.40608,0.493957,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p50_s3,tsne,50.0,3,2,0.42483,0.476889,5000,150,9,0.3
cifar10,resnet18,dfst,0.003,tsne_p50_s4,tsne,50.0,4,2,0.423191,0.4719,5000,150,9,0.3
