dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,grond,0.003,raw512,raw,,,512,-0.06644,4.540926,4850,150,1,0.3
cifar10,resnet18,grond,0.003,pca50,pca,,,50,-0.068206,4.477945,4850,150,1,0.4
cifar10,resnet18,grond,0.003,pca2,pca,,,2,-0.150489,10.671287,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p15_s0,tsne,15.0,0,2,-0.108289,6.874531,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p15_s1,tsne,15.0,1,2,-0.107792,6.988913,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p15_s2,tsne,15.0,2,2,-0.10808,6.899876,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p15_s3,tsne,15.0,3,2,-0.109432,7.253144,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p15_s4,tsne,15.0,4,2,-0.108663,7.032909,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p30_s0,tsne,30.0,0,2,-0.10301,6.378664,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p30_s1,tsne,30.0,1,2,-0.102038,6.17492,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p30_s2,tsne,30.0,2,2,-0.102203,5.729931,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p30_s3,tsne,30.0,3,2,-0.098327,5.7572,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p30_s4,tsne,30.0,4,2,-0.094644,5.873903,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p50_s0,tsne,50.0,0,2,-0.100147,7.08705,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p50_s1,tsne,50.0,1,2,-0.091566,5.888602,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p50_s2,tsne,50.0,2,2,-0.10087,7.149161,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p50_s3,tsne,50.0,3,2,-0.095022,6.225195,4850,150,1,0.3
cifar10,resnet18,grond,0.003,tsne_p50_s4,tsne,50.0,4,2,-0.092998,6.631553,4850,150,1,0.3
