dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
cifar10,resnet18,wanet,0.05,raw512,raw,,,512,0.311414,1.126168,4730,2500,10,0.7
cifar10,resnet18,wanet,0.05,pca50,pca,,,50,0.315813,1.104241,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,pca2,pca,,,2,0.58958,0.675426,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p15_s0,tsne,15.0,0,2,0.357712,0.720705,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p15_s1,tsne,15.0,1,2,0.357901,0.721129,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p15_s2,tsne,15.0,2,2,0.357416,0.721272,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p15_s3,tsne,15.0,3,2,0.356959,0.720887,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p15_s4,tsne,15.0,4,2,0.356639,0.723279,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p30_s0,tsne,30.0,0,2,0.381858,0.64136,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p30_s1,tsne,30.0,1,2,0.379698,0.645037,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p30_s2,tsne,30.0,2,2,0.380218,0.64603,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p30_s3,tsne,30.0,3,2,0.380843,0.641462,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p30_s4,tsne,30.0,4,2,0.380596,0.641524,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p50_s0,tsne,50.0,0,2,0.429692,0.590522,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p50_s1,tsne,50.0,1,2,0.429518,0.591822,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p50_s2,tsne,50.0,2,2,0.429392,0.590731,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p50_s3,tsne,50.0,3,2,0.429607,0.590029,4730,2500,10,0.6
cifar10,resnet18,wanet,0.05,tsne_p50_s4,tsne,50.0,4,2,0.429809,0.590161,4730,2500,10,0.6
