dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,adaptive_blend,0.003,raw512,raw,,,512,0.081724,2.335613,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,pca50,pca,,,50,0.081659,2.336475,960,28,9,0.1
imagenette,resnet18,adaptive_blend,0.003,pca2,pca,,,2,0.084221,6.272045,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p15_s0,tsne,15.0,0,2,0.003928,4.491282,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p15_s1,tsne,15.0,1,2,-0.021383,4.774848,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p15_s2,tsne,15.0,2,2,-0.04089,5.113202,960,28,9,0.1
imagenette,resnet18,adaptive_blend,0.003,tsne_p15_s3,tsne,15.0,3,2,0.045419,7.409666,960,28,9,0.1
imagenette,resnet18,adaptive_blend,0.003,tsne_p15_s4,tsne,15.0,4,2,0.063962,3.953008,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p30_s0,tsne,30.0,0,2,-0.011327,4.055004,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p30_s1,tsne,30.0,1,2,-0.025745,5.918086,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p30_s2,tsne,30.0,2,2,0.002728,4.361207,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p30_s3,tsne,30.0,3,2,-0.08256,5.735838,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p30_s4,tsne,30.0,4,2,-0.062528,5.893713,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p50_s0,tsne,50.0,0,2,0.079703,3.082177,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p50_s1,tsne,50.0,1,2,0.051839,3.784058,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p50_s2,tsne,50.0,2,2,0.06252,3.17181,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p50_s3,tsne,50.0,3,2,0.040736,3.57752,960,28,9,0.0
imagenette,resnet18,adaptive_blend,0.003,tsne_p50_s4,tsne,50.0,4,2,0.040293,3.554083,960,28,9,0.0
