dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,adaptive_patch,0.05,raw512,raw,,,512,0.069567,3.054099,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,pca50,pca,,,50,0.070537,3.021328,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,pca2,pca,,,2,0.082645,2.38634,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p15_s0,tsne,15.0,0,2,0.08419,2.272285,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p15_s1,tsne,15.0,1,2,0.091229,2.782102,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p15_s2,tsne,15.0,2,2,0.0973,2.549348,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p15_s3,tsne,15.0,3,2,0.085885,2.861634,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p15_s4,tsne,15.0,4,2,0.089983,2.585138,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p30_s0,tsne,30.0,0,2,0.081547,2.868713,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p30_s1,tsne,30.0,1,2,0.082388,2.932488,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p30_s2,tsne,30.0,2,2,0.082939,2.901273,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p30_s3,tsne,30.0,3,2,0.082584,2.910973,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p30_s4,tsne,30.0,4,2,0.081766,2.923123,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p50_s0,tsne,50.0,0,2,0.08975,3.042781,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p50_s1,tsne,50.0,1,2,0.09401,2.930992,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p50_s2,tsne,50.0,2,2,0.092266,2.970572,925,473,10,0.1
imagenette,resnet18,adaptive_patch,0.05,tsne_p50_s3,tsne,50.0,3,2,0.0845,2.986264,925,473,10,0.0
imagenette,resnet18,adaptive_patch,0.05,tsne_p50_s4,tsne,50.0,4,2,0.087679,3.01353,925,473,10,0.0
