dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,badnet,0.003,raw512,raw,,,512,0.380568,0.898941,960,28,10,0.0
imagenette,resnet18,badnet,0.003,pca50,pca,,,50,0.383913,0.890007,960,28,10,0.1
imagenette,resnet18,badnet,0.003,pca2,pca,,,2,0.531194,0.578711,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p15_s0,tsne,15.0,0,2,0.21674,0.704323,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p15_s1,tsne,15.0,1,2,0.254954,0.713483,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p15_s2,tsne,15.0,2,2,0.255406,0.73953,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p15_s3,tsne,15.0,3,2,0.243783,0.723418,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p15_s4,tsne,15.0,4,2,0.23452,0.776456,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p30_s0,tsne,30.0,0,2,0.24434,0.71702,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p30_s1,tsne,30.0,1,2,0.253703,0.865224,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p30_s2,tsne,30.0,2,2,0.273083,0.77454,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p30_s3,tsne,30.0,3,2,0.25439,0.732539,960,28,10,0.1
imagenette,resnet18,badnet,0.003,tsne_p30_s4,tsne,30.0,4,2,0.26643,0.775022,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p50_s0,tsne,50.0,0,2,0.2648,0.665354,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p50_s1,tsne,50.0,1,2,0.229874,0.765028,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p50_s2,tsne,50.0,2,2,0.239799,0.746119,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p50_s3,tsne,50.0,3,2,0.242111,0.682702,960,28,10,0.0
imagenette,resnet18,badnet,0.003,tsne_p50_s4,tsne,50.0,4,2,0.271971,0.664939,960,28,10,0.0
