dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,blended,0.05,raw512,raw,,,512,0.021014,3.131388,918,473,10,0.1
imagenette,resnet18,blended,0.05,pca50,pca,,,50,0.021805,3.096198,918,473,10,0.1
imagenette,resnet18,blended,0.05,pca2,pca,,,2,-0.004299,6.337894,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p15_s0,tsne,15.0,0,2,0.019742,3.518016,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p15_s1,tsne,15.0,1,2,0.020465,3.629952,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p15_s2,tsne,15.0,2,2,0.020507,3.490814,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p15_s3,tsne,15.0,3,2,0.020928,3.625948,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p15_s4,tsne,15.0,4,2,0.019633,3.471268,918,473,10,0.1
imagenette,resnet18,blended,0.05,tsne_p30_s0,tsne,30.0,0,2,0.022236,3.110625,918,473,10,0.1
imagenette,resnet18,blended,0.05,tsne_p30_s1,tsne,30.0,1,2,0.022803,3.027745,918,473,10,0.1
imagenette,resnet18,blended,0.05,tsne_p30_s2,tsne,30.0,2,2,0.021088,3.095125,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p30_s3,tsne,30.0,3,2,0.018513,3.163491,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p30_s4,tsne,30.0,4,2,0.026846,2.861292,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p50_s0,tsne,50.0,0,2,0.007414,3.846682,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p50_s1,tsne,50.0,1,2,0.015445,3.237822,918,473,10,0.1
imagenette,resnet18,blended,0.05,tsne_p50_s2,tsne,50.0,2,2,0.018248,3.021287,918,473,10,0.1
imagenette,resnet18,blended,0.05,tsne_p50_s3,tsne,50.0,3,2,0.023326,2.988616,918,473,10,0.0
imagenette,resnet18,blended,0.05,tsne_p50_s4,tsne,50.0,4,2,0.022051,2.902079,918,473,10,0.1
