dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,bpp,0.05,raw512,raw,,,512,0.420641,0.982287,914,474,10,0.1
imagenette,resnet18,bpp,0.05,pca50,pca,,,50,0.423478,0.974651,914,474,10,0.1
imagenette,resnet18,bpp,0.05,pca2,pca,,,2,0.621855,0.687819,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p15_s0,tsne,15.0,0,2,0.479364,0.758493,914,474,10,0.1
imagenette,resnet18,bpp,0.05,tsne_p15_s1,tsne,15.0,1,2,0.479694,0.759536,914,474,10,0.1
imagenette,resnet18,bpp,0.05,tsne_p15_s2,tsne,15.0,2,2,0.480392,0.758651,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p15_s3,tsne,15.0,3,2,0.478569,0.758975,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p15_s4,tsne,15.0,4,2,0.4852,0.741423,914,474,10,0.1
imagenette,resnet18,bpp,0.05,tsne_p30_s0,tsne,30.0,0,2,0.610097,0.509154,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p30_s1,tsne,30.0,1,2,0.610213,0.506576,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p30_s2,tsne,30.0,2,2,0.602798,0.528625,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p30_s3,tsne,30.0,3,2,0.610784,0.510927,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p30_s4,tsne,30.0,4,2,0.609582,0.506874,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p50_s0,tsne,50.0,0,2,0.632603,0.50727,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p50_s1,tsne,50.0,1,2,0.630278,0.512541,914,474,10,0.1
imagenette,resnet18,bpp,0.05,tsne_p50_s2,tsne,50.0,2,2,0.630353,0.500706,914,474,10,0.1
imagenette,resnet18,bpp,0.05,tsne_p50_s3,tsne,50.0,3,2,0.630736,0.510796,914,474,10,0.0
imagenette,resnet18,bpp,0.05,tsne_p50_s4,tsne,50.0,4,2,0.632598,0.500373,914,474,10,0.1
