dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,dfst,0.05,raw512,raw,,,512,0.391132,1.011251,963,473,9,0.1
imagenette,resnet18,dfst,0.05,pca50,pca,,,50,0.394749,1.002067,963,473,9,0.1
imagenette,resnet18,dfst,0.05,pca2,pca,,,2,0.641836,0.596493,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p15_s0,tsne,15.0,0,2,0.58951,0.55351,963,473,9,0.1
imagenette,resnet18,dfst,0.05,tsne_p15_s1,tsne,15.0,1,2,0.591245,0.550199,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p15_s2,tsne,15.0,2,2,0.594476,0.548034,963,473,9,0.1
imagenette,resnet18,dfst,0.05,tsne_p15_s3,tsne,15.0,3,2,0.591367,0.551538,963,473,9,0.1
imagenette,resnet18,dfst,0.05,tsne_p15_s4,tsne,15.0,4,2,0.593305,0.549539,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p30_s0,tsne,30.0,0,2,0.64412,0.473392,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p30_s1,tsne,30.0,1,2,0.648167,0.464109,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p30_s2,tsne,30.0,2,2,0.651669,0.459071,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p30_s3,tsne,30.0,3,2,0.646779,0.481491,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p30_s4,tsne,30.0,4,2,0.635866,0.49709,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p50_s0,tsne,50.0,0,2,0.685752,0.418159,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p50_s1,tsne,50.0,1,2,0.681326,0.425841,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p50_s2,tsne,50.0,2,2,0.676871,0.431957,963,473,9,0.1
imagenette,resnet18,dfst,0.05,tsne_p50_s3,tsne,50.0,3,2,0.675711,0.436293,963,473,9,0.0
imagenette,resnet18,dfst,0.05,tsne_p50_s4,tsne,50.0,4,2,0.685223,0.422378,963,473,9,0.0
