dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,grond,0.05,raw512,raw,,,512,0.044205,4.693382,490,473,1,0.0
imagenette,resnet18,grond,0.05,pca50,pca,,,50,0.045173,4.639992,490,473,1,0.1
imagenette,resnet18,grond,0.05,pca2,pca,,,2,0.060606,3.474647,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p15_s0,tsne,15.0,0,2,0.082783,3.407563,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p15_s1,tsne,15.0,1,2,0.025291,13.89495,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p15_s2,tsne,15.0,2,2,0.030377,18.471805,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p15_s3,tsne,15.0,3,2,0.068441,4.500448,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p15_s4,tsne,15.0,4,2,0.067937,3.93643,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p30_s0,tsne,30.0,0,2,0.055338,4.890054,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p30_s1,tsne,30.0,1,2,0.060434,4.585167,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p30_s2,tsne,30.0,2,2,0.07269,3.96423,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p30_s3,tsne,30.0,3,2,0.083005,3.482055,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p30_s4,tsne,30.0,4,2,0.082929,3.443643,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p50_s0,tsne,50.0,0,2,0.078914,3.465273,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p50_s1,tsne,50.0,1,2,0.081028,3.373827,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p50_s2,tsne,50.0,2,2,0.075041,3.624347,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p50_s3,tsne,50.0,3,2,0.079544,3.445386,490,473,1,0.0
imagenette,resnet18,grond,0.05,tsne_p50_s4,tsne,50.0,4,2,0.079299,3.417465,490,473,1,0.0
