dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,narcissus,0.003,raw512,raw,,,512,0.023562,5.184559,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,pca50,pca,,,50,0.023911,5.158066,935,28,1,0.1
imagenette,resnet18,narcissus,0.003,pca2,pca,,,2,0.028022,9.991639,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p15_s0,tsne,15.0,0,2,-0.009254,21.485302,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p15_s1,tsne,15.0,1,2,-0.00997,21.157611,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p15_s2,tsne,15.0,2,2,0.008924,15.292368,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p15_s3,tsne,15.0,3,2,-0.0092,15.707887,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p15_s4,tsne,15.0,4,2,-0.003382,14.079518,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p30_s0,tsne,30.0,0,2,0.009566,5.981225,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p30_s1,tsne,30.0,1,2,0.004843,6.015823,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p30_s2,tsne,30.0,2,2,-0.006403,7.852998,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p30_s3,tsne,30.0,3,2,-0.012219,7.898941,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p30_s4,tsne,30.0,4,2,-0.001505,8.737946,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p50_s0,tsne,50.0,0,2,0.031468,4.094765,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p50_s1,tsne,50.0,1,2,0.017288,5.043696,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p50_s2,tsne,50.0,2,2,0.032904,4.090406,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p50_s3,tsne,50.0,3,2,0.013243,4.587742,935,28,1,0.0
imagenette,resnet18,narcissus,0.003,tsne_p50_s4,tsne,50.0,4,2,0.0496,5.318164,935,28,1,0.0
