dataset,model,attack,poison_rate,embedding,method,perplexity,seed,dim,SS,CDBI,n_benign,n_poisoned,n_source_classes,seconds
imagenette,resnet18,wanet,0.05,raw512,raw,,,512,0.360465,1.076265,914,474,10,0.1
imagenette,resnet18,wanet,0.05,pca50,pca,,,50,0.363448,1.066502,914,474,10,0.1
imagenette,resnet18,wanet,0.05,pca2,pca,,,2,0.610476,0.708667,914,474,10,0.1
imagenette,resnet18,wanet,0.05,tsne_p15_s0,tsne,15.0,0,2,0.451537,0.700632,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p15_s1,tsne,15.0,1,2,0.453567,0.696895,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p15_s2,tsne,15.0,2,2,0.453291,0.698499,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p15_s3,tsne,15.0,3,2,0.443592,0.710143,914,474,10,0.1
imagenette,resnet18,wanet,0.05,tsne_p15_s4,tsne,15.0,4,2,0.461302,0.694557,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p30_s0,tsne,30.0,0,2,0.555909,0.5808,914,474,10,0.1
imagenette,resnet18,wanet,0.05,tsne_p30_s1,tsne,30.0,1,2,0.552273,0.58731,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p30_s2,tsne,30.0,2,2,0.553011,0.585744,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p30_s3,tsne,30.0,3,2,0.554008,0.588786,914,474,10,0.1
imagenette,resnet18,wanet,0.05,tsne_p30_s4,tsne,30.0,4,2,0.55585,0.572467,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p50_s0,tsne,50.0,0,2,0.589533,0.548962,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p50_s1,tsne,50.0,1,2,0.594269,0.543681,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p50_s2,tsne,50.0,2,2,0.582259,0.557398,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p50_s3,tsne,50.0,3,2,0.585873,0.555325,914,474,10,0.0
imagenette,resnet18,wanet,0.05,tsne_p50_s4,tsne,50.0,4,2,0.587473,0.542788,914,474,10,0.1
