block,attack,metric,mean,std,cv,n_seeds
seed,badnet,SS,0.4611,0.0115,0.025,3
seed,blended,SS,0.5005,0.0029,0.0057,3
seed,bpp,SS,0.4832,0.0089,0.0184,3
seed,wanet,SS,0.4677,0.0424,0.0907,3
seed,badnet,CDBI,0.543,0.0067,0.0124,3
seed,blended,CDBI,0.6667,0.0216,0.0323,3
seed,bpp,CDBI,0.5851,0.0166,0.0284,3
seed,wanet,CDBI,0.6127,0.1029,0.1679,3
seed,badnet,DSWD,2.0359,0.0264,0.0129,3
seed,blended,DSWD,2.0396,0.0204,0.01,3
seed,bpp,DSWD,1.9125,0.0043,0.0022,3
seed,wanet,DSWD,1.9676,0.1693,0.086,3
seed,badnet,UCLC,7.6528,0.956,0.1249,3
seed,blended,UCLC,6.8777,0.3543,0.0515,3
seed,bpp,UCLC,9.2282,0.9313,0.1009,3
seed,wanet,UCLC,8.7549,2.9803,0.3404,3
seed,badnet,TAC,3.7087,0.1726,0.0466,3
seed,blended,TAC,3.325,0.2943,0.0885,3
seed,bpp,TAC,9.4085,1.8573,0.1974,3
seed,wanet,TAC,11.5102,2.2722,0.1974,3
seed,badnet,TUP,15.9711,1.1358,0.0711,3
seed,blended,TUP,3.6823,0.0707,0.0192,3
seed,bpp,TUP,20.9476,0.0664,0.0032,3
seed,wanet,TUP,9.2613,0.3783,0.0409,3
seed,badnet,BA,0.9442,0.0009,0.001,3
seed,blended,BA,0.9428,0.0002,0.0002,3
seed,bpp,BA,0.9449,0.0009,0.0009,3
seed,wanet,BA,0.9185,0.0148,0.0161,3
seed,badnet,ASR,1.0,0.0,0.0,3
seed,blended,ASR,0.9978,0.0005,0.0005,3
seed,bpp,ASR,0.9986,0.0005,0.0005,3
seed,wanet,ASR,0.9936,0.0077,0.0077,3
rank,,SS,0.556,0.333,,3
rank,,CDBI,0.333,0.0,,3
rank,,DSWD,0.111,0.0,,3
rank,,UCLC,0.111,0.0,,3
rank,,TAC,0.778,0.667,,3
rank,,TUP,1.0,1.0,,3
target,badnet,SS,,,,3
target,badnet,CDBI,,,,3
target,badnet,DSWD,,,,3
target,badnet,UCLC,,,,3
target,badnet,TAC,,,,3
target,badnet,TUP,,,,3
target,badnet,BA,,,,3
target,badnet,ASR,,,,3
xrun,grond,SS,0.5028,0.0124,0.0246,3
xrun,adaptive_patch,SS,0.1521,0.0257,0.1689,3
xrun,grond,CDBI,0.7439,0.0255,0.0343,3
xrun,adaptive_patch,CDBI,2.3847,0.2973,0.1247,3
xrun,grond,DSWD,1.9185,0.0919,0.0479,3
xrun,adaptive_patch,DSWD,1.9493,0.0371,0.019,3
xrun,grond,UCLC,3.6413,0.0501,0.0138,3
xrun,adaptive_patch,UCLC,11.7716,2.3155,0.1967,3
xrun,grond,TAC,2.8299,0.4234,0.1496,3
xrun,adaptive_patch,TAC,3.9211,0.1038,0.0265,3
xrun,grond,TUP,1.7545,0.1036,0.059,3
xrun,adaptive_patch,TUP,10.3494,0.306,0.0296,3
xrun,grond,BA,0.9468,0.0027,0.0029,3
xrun,adaptive_patch,BA,0.9439,0.0011,0.0011,3
xrun,grond,ASR,0.9682,0.0337,0.0348,3
xrun,adaptive_patch,ASR,0.9391,0.0151,0.0161,3
winner,adaptive_patch,SS,0.1713,0.4188,holds,3
winner,grond,TUP,1.8739,3.6116,holds,3
winner,grond,UCLC,3.6948,6.3283,holds,3
