Dataset,Attack,PR_level,PR,BA,ASR,l1,l2,l_inf,MSE,PSNR,SSIM,LPIPS,IS,pHash,SAM,SS,DSWD,CDBI,UCLC,TAC,TUP
CIFAR-10,badnet,high,0.05,94.5,100.0,13.2,2.84,0.811,0.00264,25.8,0.956,0.00441,0.17,95.2,0.00144,0.507,2.01,0.574,6.59,3.9,16.2
CIFAR-10,badnet,low,0.003,94.7,100.0,13.2,2.84,0.811,0.00264,25.8,0.956,0.00441,0.17,95.2,0.00144,0.355,2.54,0.627,7.99,8.03,23.1
CIFAR-100,badnet,high,0.05,72.9,100.0,13.3,2.91,0.839,0.00279,25.6,0.955,0.00539,0.182,94.1,0.00166,0.511,1.27,0.424,4.64,7.32,27.7
CIFAR-100,badnet,low,0.003,73.5,99.8,13.3,2.91,0.839,0.00279,25.6,0.955,0.00539,0.182,94.1,0.00166,0.462,1.29,0.534,5.86,9.17,29.6
Tiny-ImageNet,badnet,high,0.05,58.37,99.97,58.36,4.99,0.73,0.00223,26.53,0.96,0.0415,0.11,91.79,0.00347,0.295,1.067,0.646,4.52,21.34,10.227
Tiny-ImageNet,badnet,low,0.003,59.12,94.04,58.36,4.99,0.73,0.00223,26.53,0.96,0.0415,0.11,91.79,0.00347,0.463,1.145,0.624,4.57,38.89,3.895
Imagenette,badnet,high,0.05,88.3,100.0,73.3,6.94,0.879,0.00254,26.0,0.981,0.0152,0.0331,97.2,0.00144,0.588,1.78,0.418,6.22,15.3,18.4
Imagenette,badnet,low,0.003,88.1,86.7,73.3,6.94,0.879,0.00254,26.0,0.981,0.0152,0.0331,97.2,0.00144,0.26,1.49,0.871,5.39,18.4,19.3
CIFAR-10,blended,high,0.05,94.3,99.8,230.0,4.92,0.191,0.00801,21.0,0.784,0.0483,2.37,89.8,0.083,0.473,2.05,0.738,6.49,3.05,3.68
CIFAR-10,blended,low,0.003,94.8,94.8,230.0,4.92,0.191,0.00801,21.0,0.784,0.0483,2.37,89.8,0.083,0.276,2.08,0.796,5.76,4.3,3.94
CIFAR-100,blended,high,0.05,72.4,99.7,232.0,4.98,0.191,0.00823,20.8,0.765,0.0512,2.25,89.0,0.0876,0.435,1.27,0.62,4.73,6.46,10.2
CIFAR-100,blended,low,0.003,73.6,88.6,232.0,4.98,0.191,0.00823,20.8,0.765,0.0512,2.25,89.0,0.0876,0.379,1.32,0.911,4.92,9.69,10.8
Tiny-ImageNet,blended,high,0.05,58.24,99.38,921.81,9.95,0.2,0.00822,20.85,0.81,0.11,1.11,89.44,0.11,0.339,1.339,0.53,4.54,23.87,3.885
Tiny-ImageNet,blended,low,0.003,58.74,84.22,921.81,9.95,0.2,0.00822,20.85,0.81,0.11,1.11,89.44,0.11,0.423,1.236,0.576,4.85,25.31,3.407
Imagenette,blended,high,0.05,88.6,98.9,1620.0,13.8,0.198,0.01,20.0,0.697,0.203,3.1,89.9,0.0968,0.0216,1.6,3.07,4.99,6.24,3.3
Imagenette,blended,low,0.003,88.6,73.5,1620.0,13.8,0.198,0.01,20.0,0.697,0.203,3.1,89.9,0.0968,0.0975,1.27,2.2,5.37,6.04,2.77
CIFAR-10,wanet,high,0.05,93.4,98.5,46.5,1.42,0.173,0.000717,31.5,0.978,0.00432,0.27,96.1,0.0119,0.382,1.83,0.641,6.33,10.7,9.3
CIFAR-10,wanet,low,0.003,93.5,95.3,46.5,1.42,0.173,0.000717,31.5,0.978,0.00432,0.27,96.1,0.0119,0.378,1.62,0.644,7.68,14.3,8.56
CIFAR-100,wanet,high,0.05,66.8,99.8,55.3,1.64,0.177,0.000955,30.2,0.968,0.00672,0.308,95.2,0.0154,0.492,1.21,0.409,6.52,20.9,25.4
CIFAR-100,wanet,low,0.003,66.6,91.7,55.3,1.64,0.177,0.000955,30.2,0.968,0.00672,0.308,95.2,0.0154,0.217,0.877,1.54,6.39,11.2,22.1
Tiny-ImageNet,wanet,high,0.05,57.88,99.93,317.02,4.94,0.35,0.0022,26.58,0.93,0.0403,0.27,97.35,0.026,0.342,1.301,0.523,4.27,31.08,7.078
Tiny-ImageNet,wanet,low,0.003,58.64,87.94,317.02,4.94,0.35,0.0022,26.58,0.93,0.0403,0.27,97.35,0.026,0.303,0.926,1.377,4.02,30.13,3.657
Imagenette,wanet,high,0.05,86.6,97.2,225.0,2.94,0.19,0.000494,33.3,0.981,0.014,0.0775,98.0,0.0111,0.557,1.73,0.571,7.05,64.0,8.85
Imagenette,wanet,low,0.003,79.1,61.0,225.0,2.94,0.19,0.000494,33.3,0.981,0.014,0.0775,98.0,0.0111,0.192,0.474,0.809,6.49,2.55,3.84
CIFAR-10,bpp,high,0.05,94.4,99.8,24.6,0.525,0.0196,8.97e-05,40.5,0.992,0.000194,0.15,99.2,0.0239,0.5,1.91,0.64,9.42,8.5,21.0
CIFAR-10,bpp,low,0.003,94.6,69.5,24.6,0.525,0.0196,8.97e-05,40.5,0.992,0.000194,0.15,99.2,0.0239,0.371,0.952,0.519,7.38,7.48,10.9
CIFAR-100,bpp,high,0.05,73.0,99.9,24.3,0.52,0.0196,8.83e-05,40.5,0.991,0.000206,0.138,99.1,0.0235,0.527,1.37,0.477,8.76,16.3,52.4
CIFAR-100,bpp,low,0.003,73.0,88.0,24.3,0.52,0.0196,8.83e-05,40.5,0.991,0.000206,0.138,99.1,0.0235,0.54,1.31,0.436,7.21,10.0,56.1
Tiny-ImageNet,bpp,high,0.05,59.36,98.43,96.26,1.04,0.0196,8.76e-05,40.57,0.99,0.000875,0.0975,99.42,0.0314,0.433,1.36,0.584,7.9,32.41,34.275
Tiny-ImageNet,bpp,low,0.003,58.56,4.72,96.26,1.04,0.0196,8.76e-05,40.57,0.99,0.000875,0.0975,99.42,0.0314,0.347,0.049,0.637,3.95,10.63,3.578
Imagenette,bpp,high,0.05,88.9,73.6,151.0,1.3,0.0196,8.79e-05,40.6,0.983,0.00187,0.099,99.4,0.0294,0.607,1.34,0.518,8.82,59.2,13.9
Imagenette,bpp,low,0.003,88.3,1.02,151.0,1.3,0.0196,8.79e-05,40.6,0.983,0.00187,0.099,99.4,0.0294,0.227,0.0402,0.854,5.19,0.394,1.56
CIFAR-10,adaptive_patch,high,0.05,93.9,30.1,74.1,6.77,0.913,0.0151,18.2,0.956,0.012,0.724,87.7,0.00894,0.254,0.765,1.29,10.7,6.44,8.38
CIFAR-10,adaptive_patch,low,0.003,94.5,92.2,74.1,6.77,0.913,0.0151,18.2,0.956,0.012,0.724,87.7,0.00894,0.05,1.91,3.42,9.91,3.94,10.2
CIFAR-100,adaptive_patch,high,0.05,70.9,66.7,74.5,6.96,0.928,0.0159,18.0,0.956,0.0135,0.805,86.2,0.00973,0.06,0.457,1.19,5.35,6.83,13.4
CIFAR-100,adaptive_patch,low,0.003,72.7,2.98,74.5,6.96,0.928,0.0159,18.0,0.956,0.0135,0.805,86.2,0.00973,0.0578,0.224,2.27,6.06,1.45,9.77
Tiny-ImageNet,adaptive_patch,high,0.05,56.97,41.62,75.68,7.06,0.96,0.00411,23.87,0.99,0.00812,0.17,92.05,0.00305,0.067,0.248,1.841,4.14,14.88,3.522
Tiny-ImageNet,adaptive_patch,low,0.003,58.39,0.26,75.68,7.06,0.96,0.00411,23.87,0.99,0.00812,0.17,92.05,0.00305,0.245,0.084,0.622,5.57,10.44,3.495
Imagenette,adaptive_patch,high,0.05,87.6,20.2,424.0,16.7,0.96,0.0147,18.4,0.955,0.054,0.238,86.9,0.009,0.0822,0.588,2.9,6.24,11.5,5.72
Imagenette,adaptive_patch,low,0.003,88.1,0.565,424.0,16.7,0.96,0.0147,18.4,0.955,0.054,0.238,86.9,0.009,-0.0455,0.106,4.45,7.62,1.42,2.35
CIFAR-10,adaptive_blend,high,0.05,94.0,53.9,232.0,4.97,0.192,0.00815,20.9,0.783,0.0485,2.37,89.8,0.0831,0.231,1.15,1.66,5.6,2.14,3.34
CIFAR-10,adaptive_blend,low,0.003,94.6,87.9,232.0,4.97,0.192,0.00815,20.9,0.783,0.0485,2.37,89.8,0.0831,0.149,2.1,5.19,7.7,4.58,3.63
CIFAR-100,adaptive_blend,high,0.05,71.8,90.6,234.0,5.02,0.192,0.00836,20.8,0.764,0.0513,2.25,89.0,0.0877,0.0382,0.693,1.24,6.32,6.62,9.93
CIFAR-100,adaptive_blend,low,0.003,72.6,82.0,234.0,5.02,0.192,0.00836,20.8,0.764,0.0513,2.25,89.0,0.0877,0.191,1.28,1.53,5.51,12.4,11.2
Tiny-ImageNet,adaptive_blend,high,0.05,57.59,96.36,955.04,10.28,0.2,0.00877,20.58,0.79,0.13,1.42,89.21,0.11,0.213,0.717,0.916,4.41,21.18,3.209
Tiny-ImageNet,adaptive_blend,low,0.003,58.9,81.58,955.04,10.28,0.2,0.00877,20.58,0.79,0.13,1.42,89.21,0.11,0.311,0.996,0.497,4.14,20.54,3.451
Imagenette,adaptive_blend,high,0.05,87.6,94.9,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,0.063,1.26,3.0,5.08,5.61,3.29
Imagenette,adaptive_blend,low,0.003,88.5,54.4,1640.0,13.9,0.198,0.0102,19.9,0.697,0.203,3.09,89.9,0.0969,-0.0657,0.965,12.3,5.67,4.71,2.45
CIFAR-10,dfst,high,0.05,95.0,100.0,487.0,10.8,0.489,0.04,14.0,0.719,0.165,2.22,88.6,0.316,0.519,2.26,0.65,6.16,6.41,3.7
CIFAR-10,dfst,low,0.003,94.8,100.0,487.0,10.8,0.489,0.04,14.0,0.719,0.165,2.22,88.6,0.316,0.339,2.63,0.55,6.37,11.8,4.47
