Dataset,Attack,PR,l1,l2,l_inf,MSE,PSNR,SSIM,LPIPS,IS,pHash,SAM,SS,DSWD,BMS,UCLC,TAC,CDBI,TUP,SPECTRE_F1,STRIP_F1,SS_F1,CLP_ASR,IBAU_ASR,NC_Norm,FeatureRE_ASR,TABOR_Score,BTI_Detected,BAN_Detected,ASR_Before
CIFAR-10,badnet,0.05,13.2,2.84,0.811,0.00264,25.8,0.956,0.00441,0.17,95.2,0.00144,0.507,2.01,34.0,6.59,3.9,0.574,16.2,0.12,0.995,0.217,11.36,34.6,136.8,7.77,194.86,2499,5000,100.0
CIFAR-10,badnet,0.003,13.2,2.84,0.811,0.00264,25.8,0.956,0.00441,0.17,95.2,0.00144,0.355,2.54,76.61,7.99,8.03,0.627,23.1,0.008,0.995,0.038,99.72,2.8,118.3,34.44,175.4,0,451,100.0
CIFAR-10,blended,0.05,230.0,4.92,0.191,0.00801,21.0,0.784,0.0483,2.37,89.8,0.083,0.473,2.05,38.02,6.49,3.05,0.738,3.68,0.053,0.993,0.0,95.87,33.3,214.4,14.44,251.0,0,914,99.8
CIFAR-10,blended,0.003,230.0,4.92,0.191,0.00801,21.0,0.784,0.0483,2.37,89.8,0.083,0.276,2.08,48.66,5.76,4.3,0.796,3.94,0.006,0.97,0.011,90.68,0.0,305.5,11.11,350.76,1101,531,94.8
CIFAR-10,wanet,0.05,46.5,1.42,0.173,0.000717,31.5,0.978,0.00432,0.27,96.1,0.0119,0.382,1.83,32.71,6.33,10.7,0.641,9.3,0.089,0.943,0.001,24.72,32.7,222.0,97.78,241.89,46,4721,98.5
CIFAR-10,wanet,0.003,46.5,1.42,0.173,0.000717,31.5,0.978,0.00432,0.27,96.1,0.0119,0.378,1.62,18.76,7.68,14.3,0.644,8.56,0.007,0.807,0.001,0.76,33.8,323.2,56.67,358.66,0,5000,95.3
CIFAR-10,bpp,0.05,24.6,0.525,0.0196,8.97e-05,40.5,0.992,0.000194,0.15,99.2,0.0239,0.5,1.91,97.43,9.42,8.5,0.64,21.0,0.117,0.878,0.11,0.7,33.4,253.0,23.33,283.23,0,1884,99.8
CIFAR-10,bpp,0.003,24.6,0.525,0.0196,8.97e-05,40.5,0.992,0.000194,0.15,99.2,0.0239,0.371,0.952,16.1,7.38,7.48,0.519,10.9,0.007,0.903,0.001,0.45,34.0,161.1,47.78,188.46,0,5000,69.5
CIFAR-10,narcissus,0.05,542.0,9.98,0.188,0.0325,14.9,0.532,0.184,3.68,82.2,0.331,0.491,2.23,50.21,7.37,6.23,0.767,2.15,0.08,0.995,0.0,99.92,14.5,181.4,53.33,208.73,0,448,100.0
CIFAR-10,narcissus,0.003,542.0,9.98,0.188,0.0325,14.9,0.532,0.184,3.68,82.2,0.331,-0.007,1.9,25.68,6.88,2.15,5.92,2.13,0.006,0.963,0.006,92.13,0.0,239.4,11.11,284.75,2500,417,98.9
CIFAR-10,adaptive_patch,0.05,74.1,6.77,0.913,0.0151,18.2,0.956,0.012,0.724,87.7,0.00894,0.254,0.765,44.03,10.7,6.44,1.29,8.38,0.081,0.107,0.052,11.43,11.2,299.2,65.56,339.43,1969,5000,30.1
CIFAR-10,adaptive_patch,0.003,74.1,6.77,0.913,0.0151,18.2,0.956,0.012,0.724,87.7,0.00894,0.05,1.91,42.22,9.91,3.94,3.42,10.2,0.006,0.723,0.001,37.54,8.0,170.8,87.78,213.35,0,765,92.2
