exp_num,defense_name,attack,model,dataset,poison_rate,FPR,TPR,precision,recall,f1,detected_poisoned,detected_clean,TP,TN,FP,FN,accuracy
0,ActivationClustering,grond,resnet18,cifar10,0.05,0.0640631578947368,0.0928,0.0708396946564885,0.0928,0.08034632034632032,3275,46725,232,44457,3043,2268,0.89378
0,ActivationClustering,dfst,resnet18,cifar10,0.05,0.1462947368421052,0.0,0.0,0.0,0.0,6949,43051,0,40551,6949,2500,0.81102
0,ActivationClustering,badnet,resnet18,cifar10,0.05,0.0,0.5068,1.0,0.5068,0.6726838332890894,1267,48733,1267,47500,0,1233,0.97534
0,ActivationClustering,adaptive_blend,resnet18,cifar10,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,ActivationClustering,wanet,resnet18,cifar10,0.05,0.0269473684210526,0.2204,0.3009284543965046,0.2204,0.2544447009928423,1831,48169,551,46220,1280,1949,0.93542
0,ActivationClustering,blended,resnet18,cifar10,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,ActivationClustering,narcissus,resnet18,cifar10,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,ActivationClustering,bpp,resnet18,cifar10,0.05,0.0,0.9948,1.0,0.9948,0.9973932223781832,2487,47513,2487,47500,0,13,0.99974
0,ActivationClustering,adaptive_patch,resnet18,cifar10,0.05,0.0506315789473684,0.6664,0.4092360599361336,0.6664,0.5070765484705524,4071,45929,1666,45095,2405,834,0.93522
0,ActivationClustering,badnet,resnet18,cifar100,0.05,0.011052631578947368,0.0,0.0,0.0,0.0,525,49475,0,46975,525,2500,0.9395
0,ActivationClustering,blended,resnet18,cifar100,0.05,0.0132,0.0,0.0,0.0,0.0,627,49373,0,46873,627,2500,0.93746
0,ActivationClustering,wanet,resnet18,cifar100,0.05,0.021936842105263157,0.0,0.0,0.0,0.0,1042,48958,0,46458,1042,2500,0.92916
0,ActivationClustering,bpp,resnet18,cifar100,0.05,0.030610526315789473,0.0004,0.0006872852233676976,0.0004,0.0005056890012642225,1455,48545,1,46046,1454,2499,0.92094
0,ActivationClustering,grond,resnet18,cifar100,0.05,0.1513939393939394,0.0,0.0,0.0,0.0,7494,42506,0,42006,7494,500,0.84012
0,ActivationClustering,dfst,resnet18,cifar100,0.05,0.027642105263157895,0.0,0.0,0.0,0.0,1313,48687,0,46187,1313,2500,0.92374
0,ActivationClustering,adaptive_blend,resnet18,cifar100,0.05,0.05724210526315789,0.0,0.0,0.0,0.0,2719,47281,0,44781,2719,2500,0.89562
0,ActivationClustering,adaptive_patch,resnet18,cifar100,0.05,0.05833684210526316,0.0,0.0,0.0,0.0,2771,47229,0,44729,2771,2500,0.89458
0,ActivationClustering,wanet,resnet18,imagenette,0.05,0.00800444691495275,0.2616033755274262,0.6326530612244898,0.2616033755274262,0.3701492537313433,196,9273,124,8923,72,350,0.9554335199070652
0,ActivationClustering,bpp,resnet18,imagenette,0.05,0.0,0.9535864978902954,1.0,0.9535864978902954,0.9762419006479482,452,9017,452,8995,0,22,0.9976766289998944
0,ActivationClustering,narcissus,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,blended,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,badnet,resnet18,imagenette,0.05,0.0,0.9978858350951374,1.0,0.9978858350951374,0.9989417989417989,472,8997,472,8996,0,1,0.999894392227268
0,ActivationClustering,adaptive_patch,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,adaptive_blend,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,dfst,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,grond,resnet18,imagenette,0.05,0.0,0.0,0.0,0.0,0.0,0,9469,0,8996,0,473,0.9500475234977295
0,ActivationClustering,badnet,resnet18,cifar10,0.003,0.0,0.0,0.0,0.0,0.0,0,50000,0,49850,0,150,0.997
0,ActivationClustering,bpp,resnet18,cifar10,0.003,0.0,0.0,0.0,0.0,0.0,0,50000,0,49864,0,136,0.99728
0,ActivationClustering,adaptive_patch,resnet18,cifar10,0.003,0.034242728184553664,0.0,0.0,0.0,0.0,1707,48293,0,48143,1707,150,0.96286
0,ActivationClustering,grond,resnet18,cifar10,0.003,0.08361083249749247,0.0,0.0,0.0,0.0,4168,45832,0,45682,4168,150,0.91364
0,ActivationClustering,narcissus,resnet18,cifar10,0.003,0.0,0.0,0.0,0.0,0.0,0,50000,0,49850,0,150,0.997
0,ActivationClustering,blended,resnet18,cifar10,0.003,0.0,0.0,0.0,0.0,0.0,0,50000,0,49850,0,150,0.997
0,ActivationClustering,wanet,resnet18,cifar10,0.003,0.0,0.0,0.0,0.0,0.0,0,50000,0,49864,0,136,0.99728
0,ActivationClustering,dfst,resnet18,cifar10,0.003,0.12962888665997993,0.0,0.0,0.0,0.0,6462,43538,0,43388,6462,150,0.86776
0,ActivationClustering,adaptive_blend,resnet18,cifar10,0.003,0.12431293881644935,0.0,0.0,0.0,0.0,6197,43803,0,43653,6197,150,0.87306
0,ActivationClustering,grond,resnet18,imagenette,0.003,0.0,0.0,0.0,0.0,0.0,0,9469,0,9441,0,28,0.997042982363502
0,ActivationClustering,dfst,resnet18,imagenette,0.003,0.0,0.0,0.0,0.0,0.0,0,9469,0,9441,0,28,0.997042982363502
0,ActivationClustering,bpp,resnet18,imagenette,0.003,0.0,0.0,0.0,0.0,0.0,0,9469,0,9429,0,40,0.9957756890907171
0,ActivationClustering,adaptive_blend,resnet18,imagenette,0.003,0.0,0.0,0.0,0.0,0.0,0,9469,0,9441,0,28,0.997042982363502
