exp_num,defense_name,attack,model,dataset,poison_rate,FPR,TPR,precision,recall,f1,detected_poisoned,detected_clean,TP,TN,FP,FN,accuracy
0,SpectralSignatures,blended,resnet18,cifar10,0.05,0.1579157894736842,0.0008,0.0002665600426496,0.0008,0.00039988003598919554,7503,42497,2,39999,7501,2498,0.80002
0,SpectralSignatures,badnet,resnet18,cifar10,0.05,0.1350736842105263,0.4348,0.1448753831800613,0.4348,0.21733479956013194,7503,42497,1087,41084,6416,1413,0.84342
0,SpectralSignatures,wanet,resnet18,cifar10,0.05,0.1578526315789473,0.0024,0.0007995735607675,0.0024,0.0011995201919231286,7504,42496,6,40002,7498,2494,0.80016
0,SpectralSignatures,narcissus,resnet18,cifar10,0.05,0.1578947368421052,0.0,0.0,0.0,0.0,7500,42500,0,40000,7500,2500,0.8
0,SpectralSignatures,dfst,resnet18,cifar10,0.05,0.1578526315789473,0.0024,0.0007995735607675,0.0024,0.0011995201919231286,7504,42496,6,40002,7498,2494,0.80016
0,SpectralSignatures,bpp,resnet18,cifar10,0.05,0.1464,0.22,0.0732942430703624,0.22,0.10995601759296275,7504,42496,550,40546,6954,1950,0.82192
0,SpectralSignatures,adaptive_patch,resnet18,cifar10,0.05,0.1524210526315789,0.1044,0.0347953606185841,0.1044,0.052194780521947697,7501,42499,261,40260,7240,2239,0.81042
0,SpectralSignatures,grond,resnet18,cifar10,0.05,0.1474315789473684,0.1988,0.0662666666666666,0.1988,0.09939999999999992,7500,42500,497,40497,7003,2003,0.81988
0,SpectralSignatures,adaptive_blend,resnet18,cifar10,0.05,0.1569263157894737,0.0192,0.0063982937883231,0.0192,0.009598080383923199,7502,42498,48,40046,7454,2452,0.80188
0,SpectralSignatures,badnet,resnet18,cifar100,0.05,0.15861052631578948,0.0,0.0,0.0,0.0,7534,42466,0,39966,7534,2500,0.79932
0,SpectralSignatures,blended,resnet18,cifar100,0.05,0.15821052631578947,0.0076,0.00252190071675073,0.0076,0.0037871237791508874,7534,42466,19,39985,7515,2481,0.80008
0,SpectralSignatures,wanet,resnet18,cifar100,0.05,0.1492842105263158,0.176,0.05842517593945027,0.176,0.08772804306649387,7531,42469,440,40409,7091,2060,0.81698
0,SpectralSignatures,bpp,resnet18,cifar100,0.05,0.15854736842105263,0.0,0.0,0.0,0.0,7531,42469,0,39969,7531,2500,0.79938
0,SpectralSignatures,adaptive_patch,resnet18,cifar100,0.05,0.1521894736842105,0.1228,0.040737791932059446,0.1228,0.06117975288959745,7536,42464,307,40271,7229,2193,0.81156
0,SpectralSignatures,dfst,resnet18,cifar100,0.05,0.15309473684210526,0.1032,0.034262948207171316,0.1032,0.051445663010967105,7530,42470,258,40228,7272,2242,0.80972
0,SpectralSignatures,adaptive_blend,resnet18,cifar100,0.05,0.1493263157894737,0.1772,0.058784501061571126,0.1772,0.08828218413710642,7536,42464,443,40407,7093,2057,0.817
0,SpectralSignatures,grond,resnet18,cifar100,0.05,0.15,0.15,0.01,0.15,0.01875,7500,42500,75,42075,7425,425,0.843
