exp_num,defense_name,attack,model,dataset,poison_rate,FPR,TPR,precision,recall,f1,detected_poisoned,detected_clean,TP,TN,FP,FN,accuracy
0,SPECTRE,badnet,resnet18,cifar10,0.05,0.7390736842105263,0.9576,0.06384,0.9576,0.1197,37500,12500,2394,12394,35106,106,0.29576
0,SPECTRE,blended,resnet18,cifar10,0.05,0.7672631578947369,0.422,0.028133333333333333,0.422,0.05275,37500,12500,1055,11055,36445,1445,0.2422
0,SPECTRE,narcissus,resnet18,cifar10,0.05,0.7556842105263157,0.642,0.0428,0.642,0.08025,37500,12500,1605,11605,35895,895,0.2642
0,SPECTRE,wanet,resnet18,cifar10,0.05,0.7521894736842105,0.7084,0.04722666666666667,0.7084,0.08855000000000002,37500,12500,1771,11771,35729,729,0.27084
0,SPECTRE,bpp,resnet18,cifar10,0.05,0.7400631578947369,0.9388,0.06258666666666667,0.9388,0.11735,37500,12500,2347,12347,35153,153,0.29388
0,SPECTRE,dfst,resnet18,cifar10,0.05,0.7613263157894736,0.5348,0.035653333333333335,0.5348,0.06685,37500,12500,1337,11337,36163,1163,0.25348
0,SPECTRE,grond,resnet18,cifar10,0.05,0.7521473684210527,0.7092,0.04728,0.7092,0.08865,37500,12500,1773,11773,35727,727,0.27092
0,SPECTRE,adaptive_blend,resnet18,cifar10,0.05,0.7659789473684211,0.4464,0.02976,0.4464,0.0558,37500,12500,1116,11116,36384,1384,0.24464
0,SPECTRE,adaptive_patch,resnet18,cifar10,0.05,0.7555578947368421,0.6444,0.04296,0.6444,0.08055,37500,12500,1611,11611,35889,889,0.26444
0,SPECTRE,badnet,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,bpp,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,blended,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,wanet,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,dfst,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,adaptive_patch,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,adaptive_blend,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,47500,0,2500,0.95
0,SPECTRE,grond,resnet18,cifar100,0.05,0.0,0.0,0.0,0.0,0.0,0,50000,0,49500,0,500,0.99
