DATASET,ATTACK,s_min_tri,s_geo_tri
CIFAR-10,BadNets,0.1558122744803233,0.39594969452297685
CIFAR-10,Blend,0.5,0.635758762043423
CIFAR-10,WaNet,0.34394860291060114,0.5338537195480428
CIFAR-10,BppAttack,0.08981989264180684,0.34272153589452287
CIFAR-10,Adap-Patch,0.3822485095641066,0.6354837858541168
CIFAR-10,Adap-Blend,0.6816106901301608,0.7497490234462064
CIFAR-10,DFST,0.4569182860275599,0.5989453705456749
CIFAR-10,Narcissus,0.5134349477010717,0.5976048505551734
CIFAR-10,Grond,0.5574696712817251,0.7489557264137162
CIFAR-10,DFBA,0.3101973524674633,
CIFAR-100,BadNets,0.1578404042845238,0.3846351197014797
CIFAR-100,Blend,0.5,0.578713340809873
CIFAR-100,WaNet,0.18398911311388788,0.4028128937064751
CIFAR-100,BppAttack,0.030427897521794815,0.23185194974725878
CIFAR-100,Adap-Patch,0.40938735919655433,0.660313309615833
CIFAR-100,Adap-Blend,0.5159103546458879,0.6661565290925667
CIFAR-100,DFST,0.4120069663306495,0.5440999914367861
CIFAR-100,Narcissus,0.5581225514763687,0.7009182361715333
CIFAR-100,Grond,0.5540457143160609,0.769997474442355
CIFAR-100,DFBA,0.4933793471299326,
Tiny-ImageNet,BadNets,0.14747661577057009,0.4136707370753324
Tiny-ImageNet,Blend,0.4337282109516428,0.5537409429361744
Tiny-ImageNet,WaNet,0.2658777372109803,0.4735460402329934
Tiny-ImageNet,BppAttack,0.0016369670390747532,0.0910397985644513
Tiny-ImageNet,Adap-Patch,0.5172765499367297,0.7612061424270629
Tiny-ImageNet,Adap-Blend,0.5484843431836522,0.6472408425186879
Tiny-ImageNet,DFST,0.39930444961071243,0.5349109859542647
Tiny-ImageNet,Narcissus,0.36,0.5163766689244855
Tiny-ImageNet,Grond,0.5457196670814515,0.6684414410648665
Tiny-ImageNet,DFBA,0.4804145761654605,
Imagenette,BadNets,0.06879797771993909,0.18582809374917095
Imagenette,Blend,0.5199091615992714,0.6075201086607376
Imagenette,WaNet,0.12757473932273622,0.32566990078949354
Imagenette,BppAttack,0.11645267865101394,0.24746991574627816
Imagenette,Adap-Patch,0.43514866425042603,0.5922935594940942
Imagenette,Adap-Blend,0.5118091226408891,0.6046416953882536
Imagenette,DFST,0.10753835774681209,0.3496691217840497
Imagenette,Narcissus,0.615,0.6446714528436237
Imagenette,Grond,0.7912029017048963,0.8860352404182261
Imagenette,DFBA,0.14032476545112407,
