DATASET,ATTACK,s_min_tri,s_geo_tri
CIFAR-10,BadNets,0.08563451172960844,0.3253640420188182
CIFAR-10,Blend,0.5,0.6364220691060969
CIFAR-10,WaNet,0.4022345685916312,0.5527214589766885
CIFAR-10,BppAttack,0.3135870386981421,0.48361599576506065
CIFAR-10,Adap-Patch,0.3378330071022917,0.6742571368914932
CIFAR-10,Adap-Blend,0.6796313236166073,0.8074068255926165
CIFAR-10,DFST,0.3805562328631341,0.5540336149813035
CIFAR-10,Narcissus,0.532,0.7498829014215072
CIFAR-10,Grond,0.8274731149338374,0.9157523618793655
CIFAR-10,DFBA,0.3378330071022917,
CIFAR-100,BadNets,0.15355247304249647,0.3158545325012844
CIFAR-100,Blend,0.3381504711729685,0.5073274698198765
CIFAR-100,WaNet,0.24685489525223997,0.4932668346382581
CIFAR-100,BppAttack,0.028690408676934787,0.17208708560017275
CIFAR-100,Adap-Patch,0.5387778916007079,0.6916644643275354
CIFAR-100,Adap-Blend,0.49214964183894994,0.5728666130621773
CIFAR-100,DFST,0.11111705002595196,0.33901591682691123
CIFAR-100,Narcissus,0.5846198728346345,0.6816673490147808
CIFAR-100,Grond,0.5,0.645387020362515
CIFAR-100,DFBA,0.5112013212961726,
Tiny-ImageNet,BadNets,0.4596129070215266,0.6042423367237348
Tiny-ImageNet,Blend,0.47261696175917656,0.5788441848137232
Tiny-ImageNet,WaNet,0.4819715411202793,0.7054909024876718
Tiny-ImageNet,BppAttack,0.4896309880804567,0.6264485751579579
Tiny-ImageNet,Adap-Patch,0.49780941422933755,0.6264702310513034
Tiny-ImageNet,Adap-Blend,0.424245518361844,0.5521288228377496
Tiny-ImageNet,DFST,0.32437488112716417,0.4918369574940815
Tiny-ImageNet,Narcissus,0.36,0.5312422538537639
Tiny-ImageNet,Grond,0.5105885985282447,0.6691036074599477
Tiny-ImageNet,DFBA,0.45759926403325824,
Imagenette,BadNets,0.005942822409812498,0.11184539568655483
Imagenette,Blend,0.47919917119422334,0.5506888461646385
Imagenette,WaNet,0.22499757632097594,0.43018049372249156
Imagenette,BppAttack,0.23590804171953217,0.5351268755365836
Imagenette,Adap-Patch,0.5357444327785693,0.7279357180989673
Imagenette,Adap-Blend,0.5217037403820404,0.7087892445497943
Imagenette,DFST,0.2549265574354138,0.3789010839863792
Imagenette,Narcissus,0.5679784296168925,0.6817284309603938
Imagenette,Grond,0.7566516418042054,0.8679902144227777
Imagenette,DFBA,0.02772989967235999,
