DATASET,ATTACK,s_min_tri,s_geo_tri
CIFAR-10,BadNets,0.1558122744803233,0.33237281428134846
CIFAR-10,Blend,0.2635,0.5135261447856806
CIFAR-10,WaNet,0.309,0.4701794330682568
CIFAR-10,BppAttack,0.08981989264180684,0.28136802197395777
CIFAR-10,Adap-Patch,0.373,0.5146407543042296
CIFAR-10,Adap-Blend,0.3845,0.5898363043023749
CIFAR-10,DFST,0.2405,0.48359231762376265
CIFAR-10,Narcissus,0.2545,0.47294964155599023
CIFAR-10,Grond,0.2825,0.5971111965033787
CIFAR-10,DFBA,0.3101973524674633,
CIFAR-100,BadNets,0.1578404042845238,0.3327873478081932
CIFAR-100,Blend,0.2825,0.4784240208116075
CIFAR-100,WaNet,0.18398911311388788,0.35631469464458543
CIFAR-100,BppAttack,0.030427897521794815,0.19248294206777858
CIFAR-100,Adap-Patch,0.40938735919655433,0.5687176756896005
CIFAR-100,Adap-Blend,0.4809,0.5744348677758692
CIFAR-100,DFST,0.2455,0.4578547226033332
CIFAR-100,Narcissus,0.46285,0.5459716968639742
CIFAR-100,Grond,0.3835,0.5822491913497818
CIFAR-100,DFBA,0.4933793471299326,
Tiny-ImageNet,BadNets,0.14747661577057009,0.3681723524557778
Tiny-ImageNet,Blend,0.3305,0.5057756305975644
Tiny-ImageNet,WaNet,0.2658777372109803,0.4332982551401255
Tiny-ImageNet,BppAttack,0.0016369670390747532,0.07716305213477946
Tiny-ImageNet,Adap-Patch,0.4665,0.6204925113987629
Tiny-ImageNet,Adap-Blend,0.3935,0.5545133686879516
Tiny-ImageNet,DFST,0.2575,0.46213892030438575
Tiny-ImageNet,Narcissus,0.34299999999999997,0.4080507869854908
Tiny-ImageNet,Grond,0.3365,0.5276527675389161
Tiny-ImageNet,DFBA,0.4804145761654605,
Imagenette,BadNets,0.06879797771993909,0.2404569311581642
Imagenette,Blend,0.4892,0.5953152165150233
Imagenette,WaNet,0.22149999999999997,0.39142386611846447
Imagenette,BppAttack,0.13239275843973317,0.2946185590897041
Imagenette,Adap-Patch,0.43514866425042603,0.5755985545632508
Imagenette,Adap-Blend,0.4685,0.587081799196107
Imagenette,DFST,0.1795,0.4147862014545019
Imagenette,Narcissus,0.47845,0.5852072321293389
Imagenette,Grond,0.4846,0.6967013019143117
Imagenette,DFBA,0.14032476545112407,
