DATASET,ATTACK,s_min_tri,s_geo_tri
CIFAR-10,BadNets,0.08563451172960844,0.29776854056526564
CIFAR-10,Blend,0.362,0.5714673464540416
CIFAR-10,WaNet,0.311,0.4964317449062424
CIFAR-10,BppAttack,0.3135870386981421,0.46078338265670216
CIFAR-10,Adap-Patch,0.3378330071022917,0.5353254124459306
CIFAR-10,Adap-Blend,0.4255,0.609506354523775
CIFAR-10,DFST,0.3305,0.5285916807719894
CIFAR-10,Narcissus,0.5035,0.5977198387720045
CIFAR-10,Grond,0.5505,0.7521180832364662
CIFAR-10,DFBA,0.3378330071022917,
CIFAR-100,BadNets,0.15355247304249647,0.34041144699595083
CIFAR-100,Blend,0.3105,0.4931044413370209
CIFAR-100,WaNet,0.24685489525223997,0.4539586430845501
CIFAR-100,BppAttack,0.028690408676934787,0.18700192406280713
CIFAR-100,Adap-Patch,0.4711,0.6237256261123815
CIFAR-100,Adap-Blend,0.40449999999999997,0.5337890812470865
CIFAR-100,DFST,0.135,0.3617465883714414
CIFAR-100,Narcissus,0.469,0.5569236431429239
CIFAR-100,Grond,0.396,0.5971204624559481
CIFAR-100,DFBA,0.5112013212961726,
Tiny-ImageNet,BadNets,0.26849999999999996,0.49113691705005597
Tiny-ImageNet,Blend,0.2885,0.49102904181421075
Tiny-ImageNet,WaNet,0.34850000000000003,0.538562002069843
Tiny-ImageNet,BppAttack,0.3265,0.5409150835775381
Tiny-ImageNet,Adap-Patch,0.3775,0.5708715745180202
Tiny-ImageNet,Adap-Blend,0.34450000000000003,0.5151073422224564
Tiny-ImageNet,DFST,0.185,0.40787710681277645
Tiny-ImageNet,Narcissus,0.349,0.40346789666045013
Tiny-ImageNet,Grond,0.3225,0.5088193352468676
Tiny-ImageNet,DFBA,0.45759926403325824,
Imagenette,BadNets,0.005942822409812498,0.12920753106570174
Imagenette,Blend,0.45125,0.532176080279064
Imagenette,WaNet,0.3606660751138705,0.5228597634373602
Imagenette,BppAttack,0.3865,0.6308493799786248
Imagenette,Adap-Patch,0.52275,0.6442953939590335
Imagenette,Adap-Blend,0.5217037403820404,0.5786561406955412
Imagenette,DFST,0.30835881462510517,0.4288041385393149
Imagenette,Narcissus,0.5082,0.5620140934478914
Imagenette,Grond,0.4727,0.6807433205383089
Imagenette,DFBA,0.02772989967235999,
